id_ucznia,imię,nazwisko,id_klasa
123/2011,Wojciech,Banasik,1
124/2011,Monika,Baranowska,1
125/2011,Janusz,Czerwinski,1
126/2011,Sebastian,Dabrowski,1
127/2011,Pawel,Grodzki,1
128/2011,Michal,Hardy,1
129/2011,Grzegorz,Henryszewski,1
130/2011,Justyna,Kaczmarek,1
131/2011,Mateusz,Kawicki,1
132/2011,Maria,Konopnicka,1
133/2011,Zygmunt,Kowalewicz,1
134/2011,Jan,Krata,1
135/2011,Anita,Krol,1
136/2011,Anna,Loch,1
137/2011,Michal,Lubanska ,1
138/2011,Dagmara,Luszczyk,1
139/2011,Piotr,Maruszkiewicz,1
140/2011,Aneta,Mucha,1
141/2011,Piotr,Rudnicki,1
142/2011,Jan,Siwicki,1
143/2011,Natalia,Skibniewska,1
144/2011,Agnieszka,Spracel,1
145/2011,Kamil,Taracinski,1
146/2011,Wojciech,Tobera,1
147/2011,Artur,Wawrzyniak,1
148/2011,Katarzyna,Wlodarczyk,1
149/2011,Mieczyslaw,Zajac,1
150/2011,Piotr,Borkowski,2
151/2011,Mateusz,Czapko,2
152/2011,Michal,Doruchowski,2
153/2011,Robert,Drzewek,2
154/2011,Tomasz,Glowacki,2
155/2011,Zygmunt,Gorecki,2
156/2011,Karol,Grzegorzewski,2
157/2011,Przemyslaw,Ignaczek,2
158/2011,Marta,Ignaczyk,2
159/2011,Sebastian,Kacprzak,2
160/2011,Karol,Kalisz,2
161/2011,Jaroslaw,Kaluzny,2
162/2011,Paulina,Kowalska,2
163/2011,Filip,Kozakiewicz,2
164/2011,Karolina,Kozica,2
165/2011,Olivia,Kurska,2
166/2011,Dorota,Lis,2
167/2011,Zofia,Milewska,2
168/2011,Beata,Ptak,2
169/2011,Krzysztof,Pyza,2
170/2011,Gorzegorz,Reszczynski,2
171/2011,Grzegorz,Slowanska,2
172/2011,Rudolf,Stanislawski,2
173/2011,Marek,Stawikowska,2
174/2011,Marek,Szyc,2
175/2011,Monika,Tomczak,2
176/2011,Piotr,Zawadzki,2
177/2011,Konrad,Banas,3
178/2011,Piotr,Bator,3
179/2011,Sebastian,Bugajski,3
180/2011,Kamila,Frukacz,3
181/2011,Adam,Fujarewicz,3
182/2011,Szymon,Gajewski,3
183/2011,Agata,Gnutek,3
184/2011,Slawomir,Jankowski,3
185/2011,Marcin,Kolo,3
186/2011,Barbara,Kopec,3
187/2011,Wojciech,Kot,3
188/2011,Ewa,Kowalik,3
189/2011,Tomasz,Kula,3
190/2011,Dariusz,Kulasz,3
191/2011,Cezary,Kulik,3
192/2011,Adam,Kupicki,3
193/2011,EMilia,Maczynska,3
194/2011,Henryk,Musial,3
195/2011,Lukasz,Olszak,3
196/2011,Rafal,Pawlowski,3
197/2011,Beata,Rafalik,3
198/2011,Krystian,Rugby,3
199/2011,Rafal,Rutkowski,3
200/2011,Sebastian,Sienkiewicz,3
201/2011,Damian,Sikorski,3
202/2011,Damian,Smolicha,3
203/2011,Krzysztofa,Sokal,3
204/2011,Robert,Szulc,3
205/2011,Robert,Tomczyk,3
206/2011,Karolina,Wawrzynczyk,3
207/2011,Aleksandra,Wegier,3
